,0
f0,0.0184833612293005
f1,0.010856511071324348
f2,0.005374065134674311
f3,0.013224700465798378
f4,0.0072103929705917835
f5,0.018818385899066925
f6,0.16632740199565887
f7,0.0491299144923687
f8,0.005948812700808048
f9,0.003627166850492358
f10,0.002261825604364276
f11,0.011477583087980747
f12,0.006978138815611601
f13,0.014764482155442238
f14,0.004122048616409302
f15,0.024714693427085876
f16,0.0026103039272129536
f17,0.00823439285159111
f18,0.025607790797948837
f19,0.059754449874162674
f20,0.0055088442750275135
f22,0.01922900602221489
f23,0.026510413736104965
f24,0.06398797035217285
f26,0.010342327877879143
f27,0.008026104420423508
f28,0.06002894043922424
f29,0.009380443952977657
f30,0.00515538128092885
f31,0.024998551234602928
f32,0.0019906156230717897
f33,0.0044558425433933735
f34,0.009265151806175709
f35,0.018621046096086502
f36,0.007281709462404251
f37,0.010677109472453594
f38,0.00873551145195961
f39,0.004420837853103876
f40,0.02285393513739109
f41,0.01605456881225109
f42,0.019744768738746643
f43,0.09064816683530807
f44,0.01053617149591446
f45,0.006041800603270531
f46,0.01949627511203289
f47,0.016207018867135048
f48,0.02682155929505825
f49,0.02406325750052929
f50,0.007156483829021454
f51,0.006424241699278355
f53,0.004302742891013622
f54,0.014358150772750378
f55,0.005000142380595207
f57,0.71517413854599
f58,0.011535373516380787
f59,0.022080717608332634
f60,0.00841141864657402
f61,0.013088056817650795
f62,6.824153900146484
f63,0.006772344466298819
f64,0.0186051856726408
f65,0.011860541068017483
f66,0.008524071425199509
f67,0.02207627333700657
f68,0.010926657356321812
f69,0.01087019219994545
f70,0.030200084671378136
f71,0.011883401311933994
f72,0.008055905811488628
f73,0.0014569690683856606
f74,0.0109779741615057
f75,0.020000284537672997
f76,0.015405497513711452
f77,0.04743164777755737
f78,0.0328485332429409
f79,0.018207188695669174
f80,0.024349292740225792
f81,0.021271755918860435
f82,0.006327545270323753
f84,0.10263901948928833
f85,0.03416583314538002
f86,0.005496762692928314
f88,3.5453429222106934
f89,0.04162551462650299
f90,0.016384482383728027
f91,0.018467431887984276
f92,0.021034488454461098
